id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp
432,ABBY,16,34,255,304,828,601,17/02/19 11:59 AM
433,BEAR,76,80,268,474,894,855,06/02/19 11:59 AM
434,LILY,95,37,408,170,615,667,07/02/19 11:59 AM
435,DUKE,20,20,144,499,811,650,08/02/19 11:59 AM
436,KODA,33,98,265,358,863,871,09/02/19 11:59 AM
437,ROCKY,29,95,173,182,849,815,10/02/19 11:59 AM
438,CHLOE,15,6,291,393,891,644,11/02/19 11:59 AM
439,KENAI,69,89,325,431,535,949,12/02/19 11:59 AM
440,HARLEY,45,48,345,236,861,533,13/02/19 11:59 AM
441,DENALI,84,54,215,479,824,929,14/02/19 11:59 AM
442,TOBY,63,60,260,504,693,659,15/02/19 11:59 AM
443,JAKE,58,25,215,273,572,674,16/02/19 11:59 AM
444,LOKI,59,5,307,343,521,548,17/02/19 11:59 AM
445,RUBY,40,88,467,177,669,722,07/02/19 11:59 AM
446,ROXY,98,46,363,145,970,629,08/02/19 11:59 AM
447,LUCKY,89,84,451,390,775,982,09/02/19 11:59 AM
448,PENNY,21,37,156,162,822,602,10/02/19 11:59 AM
449,RILEY,101,14,167,299,867,950,11/02/19 11:59 AM
450,SHADOW,87,69,431,200,566,738,12/02/19 11:59 AM
451,SOPHIE,80,49,416,435,609,545,13/02/19 11:59 AM
452,LOLA,32,51,358,142,921,823,14/02/19 11:59 AM
453,ROSIE,46,34,496,329,769,953,15/02/19 11:59 AM
454,PEPPER,90,98,211,362,846,608,16/02/19 11:59 AM
455,COCO,68,95,387,455,659,928,17/02/19 11:59 AM
456,GUS,15,57,442,171,709,657,18/02/19 11:59 AM
457,LADY,21,47,143,230,685,547,07/02/19 11:59 AM
458,BANDIT,28,64,487,362,930,843,08/02/19 11:59 AM
459,GRACIE,20,73,111,430,571,660,09/02/19 11:59 AM
460,JASPER,74,16,228,458,777,596,10/02/19 11:59 AM
461,PIPER,41,64,504,484,720,729,11/02/19 11:59 AM
462,STELLA,74,35,308,402,961,538,12/02/19 11:59 AM
463,YUKON,64,17,204,298,991,793,13/02/19 11:59 AM
464,ZOEY,37,97,290,165,660,784,14/02/19 11:59 AM
465,ANNIE,88,97,116,108,620,533,15/02/19 11:59 AM
466,BUSTER,44,63,250,239,917,658,16/02/19 11:59 AM
467,SAM,52,47,462,401,833,540,17/02/19 11:59 AM
468,MARLEY,49,66,417,373,607,810,18/02/19 11:59 AM
469,SCOUT,10,17,282,496,540,821,08/02/19 11:59 AM
470,BENTLEY,22,22,210,235,895,863,09/02/19 11:59 AM
471,DIESEL,31,94,469,430,725,575,10/02/19 11:59 AM
472,KONA,9,78,144,265,999,941,11/02/19 11:59 AM
473,RUGER,95,5,431,185,606,888,12/02/19 11:59 AM
474,THOR,31,77,418,317,616,657,13/02/19 11:59 AM
475,ZEUS,30,64,388,133,632,857,14/02/19 11:59 AM
476,ATHENA,63,92,127,251,756,797,15/02/19 11:59 AM
477,ELLIE,40,91,304,122,713,709,16/02/19 11:59 AM
478,FINN,93,16,455,480,567,859,17/02/19 11:59 AM
479,LILLY,98,23,114,348,833,857,18/02/19 11:59 AM
480,MILO,7,41,386,250,743,604,19/02/19 11:59 AM
481,TITAN,89,79,403,438,857,712,08/02/19 11:59 AM
482,BLUE,18,95,227,382,998,739,09/02/19 11:59 AM
483,DAKOTA,85,18,227,175,655,727,10/02/19 11:59 AM
484,KISKA,51,27,434,130,916,946,11/02/19 11:59 AM
485,LEO,71,89,310,304,1002,748,12/02/19 11:59 AM
486,MINNIE,66,95,218,104,519,896,13/02/19 11:59 AM
487,MURPHY,61,77,225,241,698,544,14/02/19 11:59 AM
488,OSCAR,16,73,231,472,668,724,15/02/19 11:59 AM
489,SASHA,27,90,111,334,989,553,16/02/19 11:59 AM
490,TUCKER,88,42,286,343,622,665,17/02/19 11:59 AM
491,KODIAK,13,96,274,328,593,630,18/02/19 11:59 AM
492,LOUIE,52,63,277,495,766,795,19/02/19 11:59 AM
493,NALA,94,57,431,209,558,792,09/02/19 11:59 AM
494,OLIVER,6,29,454,348,801,743,10/02/19 11:59 AM
495,RANGER,70,33,476,160,861,635,11/02/19 11:59 AM
496,slim,31,23,105,200,833,819,06/02/19 11:59 AM
497,spike,100,37,253,370,832,510,07/02/19 11:59 AM
498,mamacat,80,82,371,187,963,962,08/02/19 11:59 AM
499,babycat,68,88,344,267,625,725,09/02/19 11:59 AM
500,miko,26,10,146,127,874,825,10/02/19 11:59 AM
501,WINSTON,55,62,280,164,857,584,11/02/19 11:59 AM
502,ZOE,33,69,143,215,787,954,12/02/19 11:59 AM
503,ANGEL,77,68,310,377,887,717,13/02/19 11:59 AM
504,BAXTER,33,68,280,263,981,771,14/02/19 11:59 AM
505,EMMA,90,8,436,348,672,553,15/02/19 11:59 AM
506,GIZMO,70,78,323,375,864,739,16/02/19 11:59 AM
507,HAZEL,104,60,290,299,524,869,17/02/19 11:59 AM
508,CHANCE,49,85,492,388,834,750,06/02/19 11:59 AM
509,CHEWY,74,46,420,241,722,719,07/02/19 11:59 AM
510,HUNTER,8,105,380,191,830,678,08/02/19 11:59 AM
511,JACKSON,55,61,288,411,787,830,09/02/19 11:59 AM
512,MADDIE,77,58,322,361,722,548,10/02/19 11:59 AM
513,OTIS,66,81,454,377,934,607,11/02/19 11:59 AM
514,RAVEN,32,46,180,371,777,939,12/02/19 11:59 AM
515,TEDDY,97,31,439,282,549,1002,13/02/19 11:59 AM
516,BO,44,102,229,503,823,858,14/02/19 11:59 AM
517,BUDDY,91,104,474,243,930,905,15/02/19 11:59 AM
518,MAX,11,26,466,129,723,669,16/02/19 11:59 AM
519,SADIE,60,44,324,245,869,958,17/02/19 11:59 AM
520,LUCY,20,35,375,182,783,786,07/02/19 11:59 AM
521,BAILEY,91,57,432,219,893,578,08/02/19 11:59 AM
522,DAISY,50,80,145,159,629,714,09/02/19 11:59 AM
523,LUNA,101,93,262,487,664,878,10/02/19 11:59 AM
524,CHARLIE,70,100,285,313,769,864,11/02/19 11:59 AM
525,MAGGIE,9,39,400,286,717,863,12/02/19 11:59 AM
526,MOLLY,78,37,156,447,841,691,13/02/19 11:59 AM
527,COOPER,89,80,435,353,846,698,14/02/19 11:59 AM
528,GINGER,12,5,423,413,577,882,15/02/19 11:59 AM
529,JACK,68,76,205,203,816,844,16/02/19 11:59 AM
530,WILLOW,49,69,428,484,673,959,17/02/19 11:59 AM
531,ABBY,17,35,256,305,829,602,18/02/19 11:59 AM
532,BEAR,77,81,269,475,895,856,07/02/19 11:59 AM
533,LILY,96,38,409,171,616,668,08/02/19 11:59 AM
534,DUKE,21,21,145,500,812,651,09/02/19 11:59 AM
535,KODA,34,99,266,359,864,872,10/02/19 11:59 AM
536,ROCKY,30,96,174,183,850,816,11/02/19 11:59 AM
537,CHLOE,16,7,292,394,892,645,12/02/19 11:59 AM
538,KENAI,70,90,326,432,536,950,13/02/19 11:59 AM
539,HARLEY,46,49,346,237,862,534,14/02/19 11:59 AM
540,DENALI,85,55,216,480,825,930,15/02/19 11:59 AM
541,TOBY,64,61,261,505,694,660,16/02/19 11:59 AM
542,JAKE,59,26,216,274,573,675,17/02/19 11:59 AM
543,LOKI,60,6,308,344,522,549,18/02/19 11:59 AM
544,RUBY,41,89,468,178,670,723,08/02/19 11:59 AM
545,ROXY,99,47,364,146,971,630,09/02/19 11:59 AM
546,LUCKY,90,85,452,391,776,983,10/02/19 11:59 AM
547,PENNY,22,38,157,163,823,603,11/02/19 11:59 AM
548,RILEY,102,15,168,300,868,951,12/02/19 11:59 AM
549,SHADOW,88,70,432,201,567,739,13/02/19 11:59 AM
550,SOPHIE,81,50,417,436,610,546,14/02/19 11:59 AM
551,LOLA,33,52,359,143,922,824,15/02/19 11:59 AM
552,ROSIE,47,35,497,330,770,954,16/02/19 11:59 AM
553,PEPPER,91,99,212,363,847,609,17/02/19 11:59 AM
554,COCO,69,96,388,456,660,929,18/02/19 11:59 AM
555,GUS,16,58,443,172,710,658,19/02/19 11:59 AM
556,LADY,22,48,144,231,686,548,08/02/19 11:59 AM
557,BANDIT,29,65,488,363,931,844,09/02/19 11:59 AM
558,GRACIE,21,74,112,431,572,661,10/02/19 11:59 AM
559,JASPER,75,17,229,459,778,597,11/02/19 11:59 AM
560,PIPER,42,65,505,485,721,730,12/02/19 11:59 AM
561,STELLA,75,36,309,403,962,539,13/02/19 11:59 AM
562,YUKON,65,18,205,299,992,794,14/02/19 11:59 AM
563,ZOEY,38,98,291,166,661,785,15/02/19 11:59 AM
564,ANNIE,89,98,117,109,621,534,16/02/19 11:59 AM
565,BUSTER,45,64,251,240,918,659,17/02/19 11:59 AM
566,SAM,53,48,463,402,834,541,18/02/19 11:59 AM
567,MARLEY,50,67,418,374,608,811,19/02/19 11:59 AM
568,SCOUT,11,18,283,497,541,822,09/02/19 11:59 AM
569,BENTLEY,23,23,211,236,896,864,10/02/19 11:59 AM
570,DIESEL,32,95,470,431,726,576,11/02/19 11:59 AM
571,KONA,10,79,145,266,1000,942,12/02/19 11:59 AM
572,RUGER,96,6,432,186,607,889,13/02/19 11:59 AM
573,THOR,32,78,419,318,617,658,14/02/19 11:59 AM
574,ZEUS,31,65,389,134,633,858,15/02/19 11:59 AM
575,ATHENA,64,93,128,252,757,798,16/02/19 11:59 AM
576,ELLIE,41,92,305,123,714,710,17/02/19 11:59 AM
577,FINN,94,17,456,481,568,860,18/02/19 11:59 AM
578,LILLY,99,24,115,349,834,858,19/02/19 11:59 AM
579,MILO,8,42,387,251,744,605,20/02/19 11:59 AM
580,TITAN,90,80,404,439,858,713,09/02/19 11:59 AM
581,BLUE,19,96,228,383,999,740,10/02/19 11:59 AM
582,DAKOTA,86,19,228,176,656,728,11/02/19 11:59 AM
583,KISKA,52,28,435,131,917,947,12/02/19 11:59 AM
584,LEO,72,90,311,305,1003,749,13/02/19 11:59 AM
585,MINNIE,67,96,219,105,520,897,14/02/19 11:59 AM
586,MURPHY,62,78,226,242,699,545,15/02/19 11:59 AM
587,OSCAR,17,74,232,473,669,725,16/02/19 11:59 AM
588,SASHA,28,91,112,335,990,554,17/02/19 11:59 AM
589,TUCKER,89,43,287,344,623,666,18/02/19 11:59 AM
590,KODIAK,14,97,275,329,594,631,19/02/19 11:59 AM
591,LOUIE,53,64,278,496,767,796,20/02/19 11:59 AM
592,NALA,95,58,432,210,559,793,10/02/19 11:59 AM
593,OLIVER,7,30,455,349,802,744,11/02/19 11:59 AM
594,RANGER,71,34,477,161,862,636,12/02/19 11:59 AM
595,slim,32,24,106,201,834,820,07/02/19 11:59 AM
596,spike,101,38,254,371,833,511,08/02/19 11:59 AM
597,mamacat,81,83,372,188,964,963,09/02/19 11:59 AM
598,babycat,69,89,345,268,626,726,10/02/19 11:59 AM
599,miko,27,11,147,128,875,826,11/02/19 11:59 AM
600,WINSTON,56,63,281,165,858,585,12/02/19 11:59 AM
601,ZOE,34,70,144,216,788,955,13/02/19 11:59 AM
602,ANGEL,78,69,311,378,888,718,14/02/19 11:59 AM
603,BAXTER,34,69,281,264,982,772,15/02/19 11:59 AM
604,EMMA,91,9,437,349,673,554,16/02/19 11:59 AM
605,GIZMO,71,79,324,376,865,740,17/02/19 11:59 AM
606,HAZEL,105,61,291,300,525,870,18/02/19 11:59 AM
607,CHANCE,50,86,493,389,835,751,07/02/19 11:59 AM
608,CHEWY,75,47,421,242,723,720,08/02/19 11:59 AM
609,HUNTER,9,106,381,192,831,679,09/02/19 11:59 AM
610,JACKSON,56,62,289,412,788,831,10/02/19 11:59 AM
611,MADDIE,78,59,323,362,723,549,11/02/19 11:59 AM
612,OTIS,67,82,455,378,935,608,12/02/19 11:59 AM
613,RAVEN,33,47,181,372,778,940,13/02/19 11:59 AM
614,TEDDY,98,32,440,283,550,1003,14/02/19 11:59 AM
615,BO,45,103,230,504,824,859,15/02/19 11:59 AM
616,BUDDY,92,105,475,244,931,906,16/02/19 11:59 AM
617,MAX,12,27,467,130,724,670,17/02/19 11:59 AM
618,SADIE,61,45,325,246,870,959,18/02/19 11:59 AM
619,LUCY,21,36,376,183,784,787,08/02/19 11:59 AM
620,BAILEY,92,58,433,220,894,579,09/02/19 11:59 AM
621,DAISY,51,81,146,160,630,715,10/02/19 11:59 AM
622,LUNA,102,94,263,488,665,879,11/02/19 11:59 AM
623,CHARLIE,71,101,286,314,770,865,12/02/19 11:59 AM
624,MAGGIE,10,40,401,287,718,864,13/02/19 11:59 AM
625,MOLLY,79,38,157,448,842,692,14/02/19 11:59 AM
626,COOPER,90,81,436,354,847,699,15/02/19 11:59 AM
627,GINGER,13,6,424,414,578,883,16/02/19 11:59 AM
628,JACK,69,77,206,204,817,845,17/02/19 11:59 AM
629,WILLOW,50,70,429,485,674,960,18/02/19 11:59 AM
630,ABBY,18,36,257,306,830,603,19/02/19 11:59 AM
631,BEAR,78,82,270,476,896,857,08/02/19 11:59 AM
632,LILY,97,39,410,172,617,669,09/02/19 11:59 AM
633,DUKE,22,22,146,501,813,652,10/02/19 11:59 AM
634,KODA,35,100,267,360,865,873,11/02/19 11:59 AM
635,ROCKY,31,97,175,184,851,817,12/02/19 11:59 AM
636,CHLOE,17,8,293,395,893,646,13/02/19 11:59 AM
637,KENAI,71,91,327,433,537,951,14/02/19 11:59 AM
638,HARLEY,47,50,347,238,863,535,15/02/19 11:59 AM
639,DENALI,86,56,217,481,826,931,16/02/19 11:59 AM
640,TOBY,65,62,262,506,695,661,17/02/19 11:59 AM
641,JAKE,60,27,217,275,574,676,18/02/19 11:59 AM
642,LOKI,61,7,309,345,523,550,19/02/19 11:59 AM
643,RUBY,42,90,469,179,671,724,09/02/19 11:59 AM
644,ROXY,100,48,365,147,972,631,10/02/19 11:59 AM
645,LUCKY,91,86,453,392,777,984,11/02/19 11:59 AM
646,PENNY,23,39,158,164,824,604,12/02/19 11:59 AM
647,RILEY,103,16,169,301,869,952,13/02/19 11:59 AM
648,SHADOW,89,71,433,202,568,740,14/02/19 11:59 AM
649,SOPHIE,82,51,418,437,611,547,15/02/19 11:59 AM
650,LOLA,34,53,360,144,923,825,16/02/19 11:59 AM
651,ROSIE,48,36,498,331,771,955,17/02/19 11:59 AM
652,PEPPER,92,100,213,364,848,610,18/02/19 11:59 AM
653,COCO,70,97,389,457,661,930,19/02/19 11:59 AM
654,GUS,17,59,444,173,711,659,20/02/19 11:59 AM
655,LADY,23,49,145,232,687,549,09/02/19 11:59 AM
656,BANDIT,30,66,489,364,932,845,10/02/19 11:59 AM
657,GRACIE,22,75,113,432,573,662,11/02/19 11:59 AM
658,JASPER,76,18,230,460,779,598,12/02/19 11:59 AM
659,PIPER,43,66,506,486,722,731,13/02/19 11:59 AM
660,STELLA,76,37,310,404,963,540,14/02/19 11:59 AM
661,YUKON,66,19,206,300,993,795,15/02/19 11:59 AM
662,ZOEY,39,99,292,167,662,786,16/02/19 11:59 AM
663,ANNIE,90,99,118,110,622,535,17/02/19 11:59 AM
664,BUSTER,46,65,252,241,919,660,18/02/19 11:59 AM
665,SAM,54,49,464,403,835,542,19/02/19 11:59 AM
666,MARLEY,51,68,419,375,609,812,20/02/19 11:59 AM
667,SCOUT,12,19,284,498,542,823,10/02/19 11:59 AM
668,BENTLEY,24,24,212,237,897,865,11/02/19 11:59 AM
669,DIESEL,33,96,471,432,727,577,12/02/19 11:59 AM
670,KONA,11,80,146,267,1001,943,13/02/19 11:59 AM
671,RUGER,97,7,433,187,608,890,14/02/19 11:59 AM
672,THOR,33,79,420,319,618,659,15/02/19 11:59 AM
673,ZEUS,32,66,390,135,634,859,16/02/19 11:59 AM
674,ATHENA,65,94,129,253,758,799,17/02/19 11:59 AM
675,ELLIE,42,93,306,124,715,711,18/02/19 11:59 AM
676,FINN,95,18,457,482,569,861,19/02/19 11:59 AM
677,LILLY,100,25,116,350,835,859,20/02/19 11:59 AM
678,MILO,9,43,388,252,745,606,21/02/19 11:59 AM
679,TITAN,91,81,405,440,859,714,10/02/19 11:59 AM
680,BLUE,20,97,229,384,1000,741,11/02/19 11:59 AM
681,DAKOTA,87,20,229,177,657,729,12/02/19 11:59 AM
682,KISKA,53,29,436,132,918,948,13/02/19 11:59 AM
683,LEO,73,91,312,306,1004,750,14/02/19 11:59 AM
684,MINNIE,68,97,220,106,521,898,15/02/19 11:59 AM
685,MURPHY,63,79,227,243,700,546,16/02/19 11:59 AM
686,OSCAR,18,75,233,474,670,726,17/02/19 11:59 AM
687,SASHA,29,92,113,336,991,555,18/02/19 11:59 AM
688,TUCKER,90,44,288,345,624,667,19/02/19 11:59 AM
689,KODIAK,15,98,276,330,595,632,20/02/19 11:59 AM
690,LOUIE,54,65,279,497,768,797,21/02/19 11:59 AM
691,NALA,96,59,433,211,560,794,11/02/19 11:59 AM
692,OLIVER,8,31,456,350,803,745,12/02/19 11:59 AM
693,RANGER,72,35,478,162,863,637,13/02/19 11:59 AM
694,slim,33,25,107,202,835,821,08/02/19 11:59 AM
695,spike,102,39,255,372,834,512,09/02/19 11:59 AM
696,mamacat,82,84,373,189,965,964,10/02/19 11:59 AM
697,babycat,70,90,346,269,627,727,11/02/19 11:59 AM
698,miko,28,12,148,129,876,827,12/02/19 11:59 AM
699,WINSTON,57,64,282,166,859,586,13/02/19 11:59 AM
700,ZOE,35,71,145,217,789,956,14/02/19 11:59 AM
701,ANGEL,79,70,312,379,889,719,15/02/19 11:59 AM
702,BAXTER,35,70,282,265,983,773,16/02/19 11:59 AM
703,EMMA,92,10,438,350,674,555,17/02/19 11:59 AM
704,GIZMO,72,80,325,377,866,741,18/02/19 11:59 AM
705,HAZEL,106,62,292,301,526,871,19/02/19 11:59 AM
706,CHANCE,51,87,494,390,836,752,08/02/19 11:59 AM
707,CHEWY,76,48,422,243,724,721,09/02/19 11:59 AM
708,HUNTER,10,107,382,193,832,680,10/02/19 11:59 AM
709,JACKSON,57,63,290,413,789,832,11/02/19 11:59 AM
710,MADDIE,79,60,324,363,724,550,12/02/19 11:59 AM
711,OTIS,68,83,456,379,936,609,13/02/19 11:59 AM
712,RAVEN,34,48,182,373,779,941,14/02/19 11:59 AM
713,TEDDY,99,33,441,284,551,1004,15/02/19 11:59 AM
714,BO,46,104,231,505,825,860,16/02/19 11:59 AM
715,BUDDY,93,106,476,245,932,907,17/02/19 11:59 AM
716,MAX,13,28,468,131,725,671,18/02/19 11:59 AM
717,SADIE,62,46,326,247,871,960,19/02/19 11:59 AM
718,LUCY,22,37,377,184,785,788,09/02/19 11:59 AM
719,BAILEY,93,59,434,221,895,580,10/02/19 11:59 AM
720,DAISY,52,82,147,161,631,716,11/02/19 11:59 AM
721,LUNA,103,95,264,489,666,880,12/02/19 11:59 AM
722,CHARLIE,72,102,287,315,771,866,13/02/19 11:59 AM
723,MAGGIE,11,41,402,288,719,865,14/02/19 11:59 AM
724,MOLLY,80,39,158,449,843,693,15/02/19 11:59 AM
725,COOPER,91,82,437,355,848,700,16/02/19 11:59 AM
726,GINGER,14,7,425,415,579,884,17/02/19 11:59 AM
727,JACK,70,78,207,205,818,846,18/02/19 11:59 AM
728,WILLOW,51,71,430,486,675,961,19/02/19 11:59 AM
729,ABBY,19,37,258,307,831,604,20/02/19 11:59 AM
730,BEAR,79,83,271,477,897,858,09/02/19 11:59 AM
731,LILY,98,40,411,173,618,670,10/02/19 11:59 AM
732,DUKE,23,23,147,502,814,653,11/02/19 11:59 AM
733,KODA,36,101,268,361,866,874,12/02/19 11:59 AM
734,ROCKY,32,98,176,185,852,818,13/02/19 11:59 AM
735,CHLOE,18,9,294,396,894,647,14/02/19 11:59 AM
736,KENAI,72,92,328,434,538,952,15/02/19 11:59 AM
737,HARLEY,48,51,348,239,864,536,16/02/19 11:59 AM
738,DENALI,87,57,218,482,827,932,17/02/19 11:59 AM
739,TOBY,66,63,263,507,696,662,18/02/19 11:59 AM
740,JAKE,61,28,218,276,575,677,19/02/19 11:59 AM
741,LOKI,62,8,310,346,524,551,20/02/19 11:59 AM
742,RUBY,43,91,470,180,672,725,10/02/19 11:59 AM
743,ROXY,101,49,366,148,973,632,11/02/19 11:59 AM
744,LUCKY,92,87,454,393,778,985,12/02/19 11:59 AM
745,PENNY,24,40,159,165,825,605,13/02/19 11:59 AM
746,RILEY,104,17,170,302,870,953,14/02/19 11:59 AM
747,SHADOW,90,72,434,203,569,741,15/02/19 11:59 AM
748,SOPHIE,83,52,419,438,612,548,16/02/19 11:59 AM
749,LOLA,35,54,361,145,924,826,17/02/19 11:59 AM
750,ROSIE,49,37,499,332,772,956,18/02/19 11:59 AM
751,PEPPER,93,101,214,365,849,611,19/02/19 11:59 AM
752,COCO,71,98,390,458,662,931,20/02/19 11:59 AM
753,GUS,18,60,445,174,712,660,21/02/19 11:59 AM
754,LADY,24,50,146,233,688,550,10/02/19 11:59 AM
755,BANDIT,31,67,490,365,933,846,11/02/19 11:59 AM
756,GRACIE,23,76,114,433,574,663,12/02/19 11:59 AM
757,JASPER,77,19,231,461,780,599,13/02/19 11:59 AM
758,PIPER,44,67,507,487,723,732,14/02/19 11:59 AM
759,STELLA,77,38,311,405,964,541,15/02/19 11:59 AM
760,YUKON,67,20,207,301,994,796,16/02/19 11:59 AM
761,ZOEY,40,100,293,168,663,787,17/02/19 11:59 AM
762,ANNIE,91,100,119,111,623,536,18/02/19 11:59 AM
763,BUSTER,47,66,253,242,920,661,19/02/19 11:59 AM
764,SAM,55,50,465,404,836,543,20/02/19 11:59 AM
765,MARLEY,52,69,420,376,610,813,21/02/19 11:59 AM
766,SCOUT,13,20,285,499,543,824,11/02/19 11:59 AM
767,BENTLEY,25,25,213,238,898,866,12/02/19 11:59 AM
768,DIESEL,34,97,472,433,728,578,13/02/19 11:59 AM
769,KONA,12,81,147,268,1002,944,14/02/19 11:59 AM
770,RUGER,98,8,434,188,609,891,15/02/19 11:59 AM
771,THOR,34,80,421,320,619,660,16/02/19 11:59 AM
772,ZEUS,33,67,391,136,635,860,17/02/19 11:59 AM
773,ATHENA,66,95,130,254,759,800,18/02/19 11:59 AM
774,ELLIE,43,94,307,125,716,712,19/02/19 11:59 AM
775,FINN,96,19,458,483,570,862,20/02/19 11:59 AM
776,LILLY,101,26,117,351,836,860,21/02/19 11:59 AM
777,MILO,10,44,389,253,746,607,22/02/19 11:59 AM
778,TITAN,92,82,406,441,860,715,11/02/19 11:59 AM
779,BLUE,21,98,230,385,1001,742,12/02/19 11:59 AM
780,DAKOTA,88,21,230,178,658,730,13/02/19 11:59 AM
781,KISKA,54,30,437,133,919,949,14/02/19 11:59 AM
782,LEO,74,92,313,307,1005,751,15/02/19 11:59 AM
783,MINNIE,69,98,221,107,522,899,16/02/19 11:59 AM
784,MURPHY,64,80,228,244,701,547,17/02/19 11:59 AM
785,OSCAR,19,76,234,475,671,727,18/02/19 11:59 AM
786,SASHA,30,93,114,337,992,556,19/02/19 11:59 AM
787,TUCKER,91,45,289,346,625,668,20/02/19 11:59 AM
788,KODIAK,16,99,277,331,596,633,21/02/19 11:59 AM
789,LOUIE,55,66,280,498,769,798,22/02/19 11:59 AM
790,NALA,97,60,434,212,561,795,12/02/19 11:59 AM
791,OLIVER,9,32,457,351,804,746,13/02/19 11:59 AM
792,RANGER,73,36,479,163,864,638,14/02/19 11:59 AM
793,slim,34,26,108,203,836,822,09/02/19 11:59 AM
794,spike,103,40,256,373,835,513,10/02/19 11:59 AM
795,mamacat,83,85,374,190,966,965,11/02/19 11:59 AM
796,babycat,71,91,347,270,628,728,12/02/19 11:59 AM
797,miko,29,13,149,130,877,828,13/02/19 11:59 AM
798,WINSTON,58,65,283,167,860,587,14/02/19 11:59 AM
799,ZOE,36,72,146,218,790,957,15/02/19 11:59 AM
800,ANGEL,80,71,313,380,890,720,16/02/19 11:59 AM
801,BAXTER,36,71,283,266,984,774,17/02/19 11:59 AM
802,EMMA,93,11,439,351,675,556,18/02/19 11:59 AM
803,GIZMO,73,81,326,378,867,742,19/02/19 11:59 AM
804,HAZEL,107,63,293,302,527,872,20/02/19 11:59 AM
805,CHANCE,52,88,495,391,837,753,09/02/19 11:59 AM
806,CHEWY,77,49,423,244,725,722,10/02/19 11:59 AM
807,HUNTER,11,108,383,194,833,681,11/02/19 11:59 AM
808,JACKSON,58,64,291,414,790,833,12/02/19 11:59 AM
809,MADDIE,80,61,325,364,725,551,13/02/19 11:59 AM
810,OTIS,69,84,457,380,937,610,14/02/19 11:59 AM
811,RAVEN,35,49,183,374,780,942,15/02/19 11:59 AM
812,TEDDY,100,34,442,285,552,1005,16/02/19 11:59 AM
813,BO,47,105,232,506,826,861,17/02/19 11:59 AM
814,BUDDY,94,107,477,246,933,908,18/02/19 11:59 AM
815,MAX,14,29,469,132,726,672,19/02/19 11:59 AM
816,SADIE,63,47,327,248,872,961,20/02/19 11:59 AM
817,LUCY,23,38,378,185,786,789,10/02/19 11:59 AM
818,BAILEY,94,60,435,222,896,581,11/02/19 11:59 AM
819,DAISY,53,83,148,162,632,717,12/02/19 11:59 AM
820,LUNA,104,96,265,490,667,881,13/02/19 11:59 AM
821,CHARLIE,73,103,288,316,772,867,14/02/19 11:59 AM
822,MAGGIE,12,42,403,289,720,866,15/02/19 11:59 AM
823,MOLLY,81,40,159,450,844,694,16/02/19 11:59 AM
824,COOPER,92,83,438,356,849,701,17/02/19 11:59 AM
825,GINGER,15,8,426,416,580,885,18/02/19 11:59 AM
826,JACK,71,79,208,206,819,847,19/02/19 11:59 AM
827,WILLOW,52,72,431,487,676,962,20/02/19 11:59 AM
828,ABBY,20,38,259,308,832,605,21/02/19 11:59 AM
829,BEAR,80,84,272,478,898,859,10/02/19 11:59 AM
830,LILY,99,41,412,174,619,671,11/02/19 11:59 AM
831,DUKE,24,24,148,503,815,654,12/02/19 11:59 AM
832,KODA,37,102,269,362,867,875,13/02/19 11:59 AM
833,ROCKY,33,99,177,186,853,819,14/02/19 11:59 AM
834,CHLOE,19,10,295,397,895,648,15/02/19 11:59 AM
835,KENAI,73,93,329,435,539,953,16/02/19 11:59 AM
836,HARLEY,49,52,349,240,865,537,17/02/19 11:59 AM
837,DENALI,88,58,219,483,828,933,18/02/19 11:59 AM
838,TOBY,67,64,264,508,697,663,19/02/19 11:59 AM
839,JAKE,62,29,219,277,576,678,20/02/19 11:59 AM
840,LOKI,63,9,311,347,525,552,21/02/19 11:59 AM
841,RUBY,44,92,471,181,673,726,11/02/19 11:59 AM
842,ROXY,102,50,367,149,974,633,12/02/19 11:59 AM
843,LUCKY,93,88,455,394,779,986,13/02/19 11:59 AM
844,PENNY,25,41,160,166,826,606,14/02/19 11:59 AM
845,RILEY,105,18,171,303,871,954,15/02/19 11:59 AM
846,SHADOW,91,73,435,204,570,742,16/02/19 11:59 AM
847,SOPHIE,84,53,420,439,613,549,17/02/19 11:59 AM
848,LOLA,36,55,362,146,925,827,18/02/19 11:59 AM
849,ROSIE,50,38,500,333,773,957,19/02/19 11:59 AM
850,PEPPER,94,102,215,366,850,612,20/02/19 11:59 AM
851,COCO,72,99,391,459,663,932,21/02/19 11:59 AM
852,GUS,19,61,446,175,713,661,22/02/19 11:59 AM
853,LADY,25,51,147,234,689,551,11/02/19 11:59 AM
854,BANDIT,32,68,491,366,934,847,12/02/19 11:59 AM
855,GRACIE,24,77,115,434,575,664,13/02/19 11:59 AM
856,JASPER,78,20,232,462,781,600,14/02/19 11:59 AM
857,PIPER,45,68,508,488,724,733,15/02/19 11:59 AM
858,STELLA,78,39,312,406,965,542,16/02/19 11:59 AM
859,YUKON,68,21,208,302,995,797,17/02/19 11:59 AM
860,ZOEY,41,101,294,169,664,788,18/02/19 11:59 AM
861,ANNIE,92,101,120,112,624,537,19/02/19 11:59 AM
862,BUSTER,48,67,254,243,921,662,20/02/19 11:59 AM
863,SAM,56,51,466,405,837,544,21/02/19 11:59 AM
